name,img,url,piece_count,original_price,discount_price,discount_percentage
Wooden Puzzle Table with Drawers - For 1000 Piece Jigsaw Puzzles,https://cdn11.bigcommerce.com/s-gyhhtwx4/images/stencil/300x300/products/4446/14039/81Ho-8uyBZL._AC_SL1500___29595.1698857344.jpg?c=2,https://buffalogames.com/wooden-puzzle-table-with-drawers-for-1000-piece-jigsaw-puzzles/,1000 Pieces,$69.99,$34.99,50% Off
Eric Dowdle: Christmas Morning 300 Piece Puzzle,https://cdn11.bigcommerce.com/s-gyhhtwx4/images/stencil/300x300/products/4401/13852/079346228140_puzzle_1500__24044.1695307748.jpg?c=2,https://buffalogames.com/eric-dowdle-christmas-morning-300-piece-puzzle/,300 Pieces,$12.99,$9.99,23% Off
Tim Jeffs: Bird Bonanza 1000 Piece Puzzle,https://cdn11.bigcommerce.com/s-gyhhtwx4/images/stencil/300x300/products/4393/13820/079346014491_puzzle_1500__44988.1693502021.jpg?c=2,https://buffalogames.com/tim-jeffs-bird-bonanza-1000-piece-puzzle/,1000 Pieces,$17.99,$14.99,17% Off
Terry Redlin: His First Friend - An American Portrait 1000 Piece Puzzle,https://cdn11.bigcommerce.com/s-gyhhtwx4/images/stencil/300x300/products/4391/13812/079346109234_puzzle_1500__77355.1693501597.jpg?c=2,https://buffalogames.com/terry-redlin-his-first-friend-an-american-portrait-1000-piece-puzzle/,1000 Pieces,$17.99,$14.99,17% Off
Eric Dowdle: Lake Tahoe 300 Piece Puzzle,https://cdn11.bigcommerce.com/s-gyhhtwx4/images/stencil/300x300/products/4361/13681/079346228157_puzzle_1500__92679.1689946299.jpg?c=2,https://buffalogames.com/eric-dowdle-lake-tahoe-300-piece-puzzle/,300 Pieces,$12.99,$9.99,23% Off
Eric Dowdle: Balloons Over Paris 300 Piece Puzzle,https://cdn11.bigcommerce.com/s-gyhhtwx4/images/stencil/300x300/products/4292/13374/079346228126_puzzle_1500__79242.1686582102.jpg?c=2,https://buffalogames.com/eric-dowdle-balloons-over-paris-300-piece-puzzle/,300 Pieces,$12.99,$9.99,23% Off
Lars Stewart:  Fun Fair Food 1000 Piece Puzzle,https://cdn11.bigcommerce.com/s-gyhhtwx4/images/stencil/300x300/products/4072/12474/079346127290_puzzle_1500__53393.1672780798.jpg?c=2,https://buffalogames.com/lars-stewart-fun-fair-food-1000-piece-puzzle/,1000 Pieces,$17.99,$14.40,20% Off
Highlights Hidden Pictures 300 Large Piece Puzzle,https://cdn11.bigcommerce.com/s-gyhhtwx4/images/stencil/300x300/products/4069/12462/079346225040_puzzle_1500__11095.1675741320.jpg?c=2,https://buffalogames.com/highlights-hidden-pictures-300-large-piece-puzzle/,300 Pieces,$12.99,$9.99,23% Off
Aimee Stewart:  Vintage Summer Books 1000 Piece Jigsaw Puzzle,https://cdn11.bigcommerce.com/s-gyhhtwx4/images/stencil/300x300/products/3685/10713/GUEST_97713f56-fba2-4cc6-b787-f1958c684c41__95431.1671807364.jpg?c=2,https://buffalogames.com/aimee-stewart-vintage-summer-books-1000-piece-jigsaw-puzzle/,1000 Pieces,$17.99,$14.40,20% Off
Life Is Good The Art of Optimism 300 Large Piece Jigsaw Puzzle,https://cdn11.bigcommerce.com/s-gyhhtwx4/images/stencil/300x300/products/3418/9319/079346027958_puzzle_800__51779.1671808509.jpg?c=2,https://buffalogames.com/life-is-good-the-art-of-optimism-300-large-piece-jigsaw-puzzle/,300 Pieces,$12.99,$9.99,23% Off
Dog Days Summer School 750 Piece Jigsaw Puzzle,https://cdn11.bigcommerce.com/s-gyhhtwx4/images/stencil/300x300/products/3366/9059/079346173471_puzzle_800__06612.1671808680.jpg?c=2,https://buffalogames.com/dog-days-summer-school-750-piece-jigsaw-puzzle/,750 Pieces,$16.99,$13.99,18% Off
Enchanted Aurora 1500 Piece Jigsaw Puzzle,https://cdn11.bigcommerce.com/s-gyhhtwx4/images/stencil/300x300/products/3319/8835/079346024421_puzzle_800__85439.1671808906.jpg?c=2,https://buffalogames.com/enchanted-aurora-1500-piece-jigsaw-puzzle/,1500 Pieces,$21.90,$10.99,50% Off
Cats Quarantine Cats 750 Piece Jigsaw Puzzle,https://cdn11.bigcommerce.com/s-gyhhtwx4/images/stencil/300x300/products/3267/8585/079346172795_QuarantineCats_puzzle_800__42956.1671817696.jpg?c=2,https://buffalogames.com/cats-quarantine-cats-750-piece-jigsaw-puzzle/,750 Pieces,$16.99,$13.40,21% Off
Majestic Castles Discover Fantasy 750 Piece Jigsaw Puzzle,https://cdn11.bigcommerce.com/s-gyhhtwx4/images/stencil/300x300/products/3247/8485/079346170623_puzzle_800__67219.1671817757.jpg?c=2,https://buffalogames.com/majestic-castles-discover-fantasy-750-piece-jigsaw-puzzle/,750 Pieces,$16.99,$13.99,18% Off
Dog Days A Roomful of Naughty Puppies 750 Piece Jigsaw Puzzle,https://cdn11.bigcommerce.com/s-gyhhtwx4/images/stencil/300x300/products/3228/8378/079346173501_puzzle_800__04763.1671817786.jpg?c=2,https://buffalogames.com/dog-days-a-roomful-of-naughty-puppies-750-piece-jigsaw-puzzle/,750 Pieces,$16.99,$13.99,18% Off
Night & Day Jeff Haynie Beach Holiday 1000 Piece Jigsaw Puzzle,https://cdn11.bigcommerce.com/s-gyhhtwx4/images/stencil/300x300/products/3188/8172/079346118618_puzzle_800__73743.1671817867.jpg?c=2,https://buffalogames.com/night-day-beach-holiday-1000-piece-jigsaw-puzzle/,1000 Pieces,$17.99,$14.40,20% Off
